movie_id,title,release_year,imdb_rating,languages,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt27996020,Jolly LLB 3,2025.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt28075881,Do Patti,2024.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt5935704,Padmaavat,2018.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt12915716,Adipurush,2023.0,,Hindi,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt21279420,Emergency,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tt15748830,Jaane Jaan,2023.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt7529298,Attack,2022.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tt22297828,Chor Nikal Ke Bhaga,2023.0,,Hindi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt28802657,De De Pyaar De 2,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0432637,Krrish,2006.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt36642456,Haq,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt21626284,Lost Ladies,2024.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023.0,,Hindi,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0265343,Monsoon Wedding,2001.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0254481,Koi... Mil Gaya,2003.0,,Hindi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt8291224,Uri: The Surgical Strike,2019.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt5764096,Hindi Medium,2017.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt31852278,Subedaar,2026.0,,Hindi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1084972,Wanted,2009.0,,Hindi,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt14099334,Bhediya,2022.0,,Hindi,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt8439854,Lust Stories,2018.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt32245870,Happy Patel: Khatarnak Jasoos,2026.0,,Hindi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt11027850,Hacked,2020.0,,Hindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt8239946,Tumbbad,2018.0,,Hindi,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tt31969779,O'Romeo,2026.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt21626774,Sector 36,2024.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0441048,Dhoom 2,2006.0,,Hindi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0249371,Aśoka,2001.0,,Hindi,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
tt3405236,Raees,2017.0,,Hindi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt6203702,Baaghi 4,2025.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
